Filename	numReads	estFragLen	corr_estFragLen	PhantomPeak	corr_phantomPeak	argmin_corr	min_corr	phantomPeakCoef	relPhantomPeakCoef	QualityTag
02_05FS_00ICHauk_H3K27Ac_hs_i68.tagAlign.gz	31214555	210	0.440783468338341	80	0.4297421	1500	0.4005665	1.1004	1.378442	1
00_05G3_00ICHauk_Pooled_Input_Batch1_hs_i80.tagAlign.gz	32155657	185	0.310834593968892	75	0.3095109	1500	0.305045	1.01898	1.296385	1
04_05FT_00ICHauk_H3K27Ac_hs_i69.tagAlign.gz	34161063	200	0.417322218561509	75	0.4074399	1500	0.3868417	1.078793	1.479762	1
06_05FU_00ICHauk_H3K27Ac_hs_i70.tagAlign.gz	29180393	205	0.418815743620687	80	0.4081425	1500	0.3823394	1.095403	1.413641	1
08_05FV_00ICHauk_H3K27Ac_hs_i71.tagAlign.gz	29688958	190	0.431785456447445	80	0.4213592	1500	0.3916411	1.102503	1.35084	1
10_05FW_00ICHauk_H3K27Ac_hs_i72.tagAlign.gz	30853362	185	0.3758256335796	80	0.3583621	1500	0.337252	1.114376	1.827262	2
12_05FX_00ICHauk_H3K27Ac_hs_i73.tagAlign.gz	27309808	190	0.339075080626555	80	0.3253591	1500	0.309434	1.095791	1.861275	2
14_05FY_00ICHauk_H3K27Ac_hs_i74.tagAlign.gz	26506695	180	0.340321356674608	80	0.3303307	1500	0.3146449	1.081604	1.636926	2
16_05FZ_00ICHauk_H3K27Ac_hs_i75.tagAlign.gz	29804478	190	0.384177421032335	75	0.3765911	1500	0.3578296	1.073632	1.404355	1
18_05G0_00ICHauk_H3K27Ac_hs_i76.tagAlign.gz	27886251	205	0.367735309056081	80	0.3595551	1500	0.3420507	1.07509	1.467321	1
20_05G1_00ICHauk_H3K27Ac_hs_i77.tagAlign.gz	29428343	200	0.463427593212063	80	0.4541904	1500	0.4243921	1.09198	1.30999	1
22_05G2_00ICHauk_H3K27Ac_hs_i78.tagAlign.gz	27632330	180	0.341989730412867	80	0.3284375	1500	0.3136888	1.09022	1.91887	2
24_05NM_00ICHauk_H3K27Ac_hs_i81.tagAlign.gz	32545324	180	0.358179280700914	80	0.3551382	1500	0.3459021	1.035493	1.329263	1
00_05O0_00ICHauk_Pooled_Input-B2_hs_i96.tagAlign.gz	30212672	165	0.295473272415576	75	0.2936736	1500	0.2906456	1.01661	1.594326	2
30_05NN_00ICHauk_H3K27Ac_hs_i82.tagAlign.gz	30640535	185	0.367738288822016	75	0.3613311	1500	0.3482837	1.055858	1.491072	1
38_05NO_00ICHauk_H3K27Ac_hs_i84.tagAlign.gz	28401798	160	0.296004517289492	80	0.290447	1500	0.2844982	1.040444	1.934209	2
40_05NP_00ICHauk_H3K27Ac_hs_i85.tagAlign.gz	29050536	175	0.321763751535275	75	0.3183882	1500	0.3103115	1.036906	1.41793	1
46_05NQ_00ICHauk_H3K27Ac_hs_i86.tagAlign.gz	26500493	170	0.303373712757601	75	0.2967783	1500	0.2882246	1.05256	1.771057	2
52_05NR_00ICHauk_H3K27Ac_hs_i87.tagAlign.gz	23205330	190	0.275877210975153	80	0.264255	1500	0.2538099	1.086944	2.112692	2
60_05NS_00ICHauk_H3K27Ac_hs_i88.tagAlign.gz	23309076	165	0.272621930920413	75	0.2644002	1500	0.257069	1.060501	2.121462	2
72_05NY_00ICHauk_A2_H3K27Ac_hs_i95.tagAlign.gz	22854602	175	0.25841921685898	80	0.2512164	1500	0.2460176	1.05041	2.385486	2
00_05O1_00ICHauk_Pooled_Input-A2_hs_i68.tagAlign.gz	27860992	165	0.279890227547795	75	0.2787911	1500	0.2759141	1.014411	1.382031	1
74_05NT_00ICHauk_A4_H3K27Ac_hs_i90.tagAlign.gz	25735015	175	0.282198023222786	75	0.2762074	1500	0.2704136	1.043579	2.033969	2
78_05NU_00ICHauk_A8_H3K27Ac_hs_i91.tagAlign.gz	29991038	175	0.323782560758672	80	0.319347	1500	0.3112644	1.040217	1.548768	2
